taxon_id,scientific_name,common_name_original,common_name_model,taxonomy_class,generic_label,grounding_dino_prompt,qwen_label,yolo_open_vocab_label,aliases
54191,Oncorhynchus tshawytscha,Chinook Salmon,chinook salmon,Actinopterygii,fish,chinook salmon. fish.,chinook salmon,chinook salmon,chinook salmon|fish
81556,Catostomus commersonii,White Sucker,white sucker,Actinopterygii,fish,white sucker. fish.,white sucker,white sucker,white sucker|fish
49509,Lutjanus griseus,Gray Snapper,gray snapper,Actinopterygii,fish,gray snapper. fish.,gray snapper,gray snapper,gray snapper|fish
118682,Chromis chromis,Mediterranean Damselfish,mediterranean damselfish,Actinopterygii,fish,mediterranean damselfish. fish.,mediterranean damselfish,mediterranean damselfish,mediterranean damselfish|fish
187316,Cyprinus rubrofuscus,Amur Carp,amur carp,Actinopterygii,fish,amur carp. fish.,amur carp,amur carp,amur carp|fish
58633,Etheostoma caeruleum,Rainbow Darter,rainbow darter,Actinopterygii,fish,rainbow darter. fish.,rainbow darter,rainbow darter,rainbow darter|fish
52554,Symphodus tinca,East Atlantic Peacock Wrasse,east atlantic peacock wrasse,Actinopterygii,fish,east atlantic peacock wrasse. fish.,east atlantic peacock wrasse,east atlantic peacock wrasse,east atlantic peacock wrasse|fish
99544,Dorosoma cepedianum,American Gizzard Shad,american gizzard shad,Actinopterygii,fish,american gizzard shad. fish.,american gizzard shad,american gizzard shad,american gizzard shad|fish
113980,Thalassoma lunare,Moon Wrasse,moon wrasse,Actinopterygii,fish,moon wrasse. fish.,moon wrasse,moon wrasse,moon wrasse|fish
103901,Labroides dimidiatus,Bluestreak Cleaner Wrasse,bluestreak cleaner wrasse,Actinopterygii,fish,bluestreak cleaner wrasse. fish.,bluestreak cleaner wrasse,bluestreak cleaner wrasse,bluestreak cleaner wrasse|fish
49749,Aplodinotus grunniens,Freshwater Drum,freshwater drum,Actinopterygii,fish,freshwater drum. fish.,freshwater drum,freshwater drum,freshwater drum|fish
49303,Dascyllus trimaculatus,Three-spot Dascyllus,three spot dascyllus,Actinopterygii,fish,three spot dascyllus. fish.,three spot dascyllus,three spot dascyllus,three spot dascyllus|fish
67658,Paracirrhites forsteri,Freckled Hawkfish,freckled hawkfish,Actinopterygii,fish,freckled hawkfish. fish.,freckled hawkfish,freckled hawkfish,freckled hawkfish|fish
112118,Scardinius erythrophthalmus,Common Rudd,common rudd,Actinopterygii,fish,common rudd. fish.,common rudd,common rudd,common rudd|fish
123690,Caranx melampygus,Bluefin Trevally,bluefin trevally,Actinopterygii,fish,bluefin trevally. fish.,bluefin trevally,bluefin trevally,bluefin trevally|fish
47527,Ostracion meleagris,Spotted Boxfish,spotted boxfish,Actinopterygii,fish,spotted boxfish. fish.,spotted boxfish,spotted boxfish,spotted boxfish|fish
83318,Arothron meleagris,Guineafowl Puffer,guineafowl puffer,Actinopterygii,fish,guineafowl puffer. fish.,guineafowl puffer,guineafowl puffer,guineafowl puffer|fish
49378,Ostracion cubicum,Yellow Boxfish,yellow boxfish,Actinopterygii,fish,yellow boxfish. fish.,yellow boxfish,yellow boxfish,yellow boxfish|fish
67963,Thalassoma hardwicke,Sixbar Wrasse,sixbar wrasse,Actinopterygii,fish,sixbar wrasse. fish.,sixbar wrasse,sixbar wrasse,sixbar wrasse|fish
69989,Rutilus rutilus,Common Roach,common roach,Actinopterygii,fish,common roach. fish.,common roach,common roach,common roach|fish
84175,Scarus ghobban,Blue-barred Parrotfish,blue barred parrotfish,Actinopterygii,fish,blue barred parrotfish. fish.,blue barred parrotfish,blue barred parrotfish,blue barred parrotfish|fish
109885,Poecilia latipinna,Sailfin Molly,sailfin molly,Actinopterygii,fish,sailfin molly. fish.,sailfin molly,sailfin molly,sailfin molly|fish
48743,Chaetodon lunulatus,Redfin Butterflyfish,redfin butterflyfish,Actinopterygii,fish,redfin butterflyfish. fish.,redfin butterflyfish,redfin butterflyfish,redfin butterflyfish|fish
48154,Sander vitreus,Walleye,walleye,Actinopterygii,fish,walleye. fish.,walleye,walleye,walleye|fish
